season,type,recipe_id,name,total_reviews,valid_reviews,median_reviews_type_season
Spring,plat,89204,crock pot chicken with black beans   cream cheese,349,333.0,90.5
Spring,plat,39087,creamy cajun chicken pasta,332,306.0,90.5
Spring,plat,22782,jo mama s world famous spaghetti,282,266.0,90.5
Spring,plat,27208,to die for crock pot roast,279,257.0,90.5
Spring,plat,54257,yes  virginia there is a great meatloaf,270,239.0,90.5
Spring,plat,69173,kittencal s italian melt in your mouth meatballs,243,233.0,90.5
Spring,plat,33919,creamy burrito casserole,228,209.0,90.5
Spring,plat,28148,oven fried chicken chimichangas,210,203.0,90.5
Spring,plat,68955,japanese mum s chicken,208,198.0,90.5
Spring,plat,99476,the best easy beef and broccoli stir fry,206,194.0,90.5
Spring,plat,82102,kittencal s moist cheddar garlic oven fried chicken breast,193,186.0,90.5
Spring,plat,107786,beth s melt in your mouth barbecue ribs  oven,191,161.0,90.5
Spring,plat,87782,greek potatoes  oven roasted and delicious,186,173.0,90.5
Spring,plat,63689,my family s favorite sloppy joes  pizza joes,180,172.0,90.5
Spring,plat,129926,simply sour cream chicken enchiladas,178,169.0,90.5
Spring,plat,135350,fannie farmer s classic baked macaroni   cheese,168,157.0,90.5
Spring,plat,33671,crock pot whole chicken,162,151.0,90.5
Spring,plat,141983,better than olive garden alfredo sauce,157,137.0,90.5
Spring,plat,60350,easy stove top macaroni   cheese,153,135.0,90.5
Spring,plat,95222,pork chops yum yum,148,146.0,90.5
Spring,plat,66121,p  f  chang s mongolian beef by todd wilbur,141,126.0,90.5
Spring,plat,8701,should be illegal oven bbq ribs,140,132.0,90.5
Spring,plat,53914,mama s supper club tilapia parmesan,132,126.0,90.5
Spring,plat,38298,olive garden copycat zuppa toscana,129,113.0,90.5
Spring,plat,37336,melt in your mouth chicken breasts,126,115.0,90.5
Spring,plat,28768,absolute best ever lasagna,123,113.0,90.5
Spring,plat,33489,top secret recipes version of kfc coleslaw by todd wilbur,121,112.0,90.5
Spring,plat,27210,best grilled pork chops,120,117.0,90.5
Spring,plat,10744,delicious chicken pot pie,114,109.0,90.5
Spring,plat,92095,authentic italian meatballs,114,102.0,90.5
Spring,plat,76930,funky chicken with sesame noodles,112,108.0,90.5
Spring,plat,46922,awesome baked ham,110,103.0,90.5
Spring,plat,63786,steak  or chicken  fajitas,110,106.0,90.5
Spring,plat,32844,pasta with sausage  tomatoes  and cream,108,104.0,90.5
Spring,plat,27520,poverty meal,107,94.0,90.5
Spring,plat,87075,the  blue mill tavern loosemeat sandwich,105,97.0,90.5
Spring,plat,63828,perfect pork tenderloin,104,95.0,90.5
Spring,plat,150863,panera s cream cheese potato soup,103,97.0,90.5
Spring,plat,33921,really good vegetarian meatloaf  really,102,96.0,90.5
Spring,plat,29598,amazing chicken marinade,101,97.0,90.5
Spring,plat,200296,kittencal s easy and delicious ranch parmesan chicken,101,98.0,90.5
Spring,plat,131018,pulled pork  crock pot,100,90.0,90.5
Spring,plat,150384,panera broccoli cheese soup,100,94.0,90.5
Spring,plat,70165,pizza dough for thin crust pizza,100,94.0,90.5
Spring,plat,78814,kittencal s chicken crescent roll casserole,99,96.0,90.5
Spring,plat,108522,grilled cheese  diner style,97,93.0,90.5
Spring,plat,47195,uncle bill s microwave potato chips,96,93.0,90.5
Spring,plat,103215,panda express orange chicken,96,89.0,90.5
Spring,plat,43023,creamy garlic penne pasta,92,88.0,90.5
Spring,plat,15242,cracker barrel s hashbrowns casserole   copycat,91,82.0,90.5
Spring,plat,13285,greek style turkey burgers,90,86.0,90.5
Spring,plat,26217,bev s spaghetti sauce,90,84.0,90.5
Spring,plat,15865,p  f  chang s chicken lettuce wraps by todd wilbur,89,84.0,90.5
Spring,plat,48635,basic pancake mix,87,78.0,90.5
Spring,plat,4627,chicken tortilla soup ii,83,78.0,90.5
Spring,plat,16531,crock pot garlic brown sugar chicken,83,80.0,90.5
Spring,plat,22176,classic baked ziti,80,78.0,90.5
Spring,plat,30081,ground beef gyros,78,73.0,90.5
Spring,plat,107997,4 minute spicy garlic shrimp,78,78.0,90.5
Spring,plat,87085,southwestern baked spaghetti,78,76.0,90.5
Spring,plat,20155,creamy potato salad,78,71.0,90.5
Spring,plat,9836,slow cooker cheesy chicken,77,74.0,90.5
Spring,plat,129345,chicken scaloppine with lemon glaze   low fat and delicious,77,74.0,90.5
Spring,plat,52488,mean guy s general tso s chicken,76,74.0,90.5
Spring,plat,221743,kittencal s best blasted rapid roast whole chicken,76,74.0,90.5
Spring,plat,155186,fantastic taco casserole,74,73.0,90.5
Spring,plat,8782,roast  sticky  chicken,74,70.0,90.5
Spring,plat,26257,so it s bekah s pulled pork now,74,72.0,90.5
Spring,plat,83561,oven fried garlic chicken,73,72.0,90.5
Spring,plat,34499,awesome baked pork chops,73,69.0,90.5
Spring,plat,77585,copycat olive garden minestrone soup by todd wilbur,73,65.0,90.5
Spring,plat,34382,mashed red potatoes with garlic and parmesan,72,70.0,90.5
Spring,plat,4957,crock pot chicken taco meat,72,70.0,90.5
Spring,plat,29884,easy enchiladas  beef or chicken,72,68.0,90.5
Spring,plat,1356,ground beef stuffed green bell peppers with cheese,71,59.0,90.5
Spring,plat,35805,easy peezy pizza dough  bread machine pizza dough,71,68.0,90.5
Spring,plat,43072,oatmeal cottage cheese pancakes,71,69.0,90.5
Spring,plat,42780,long john silver s fish batter,70,62.0,90.5
Spring,plat,145038,caramelized baked chicken legs wings,69,58.0,90.5
Spring,plat,79563,uncle bill s green split pea with hambone soup,67,62.0,90.5
Spring,plat,13982,honey ginger grilled salmon,66,63.0,90.5
Spring,plat,49387,oven fried eggplant  aubergine,66,62.0,90.5
Spring,plat,199579,best ever tuna noodle casserole,65,60.0,90.5
Spring,plat,37413,beef patties in onion gravy,65,62.0,90.5
Spring,plat,52892,olive garden garlic alfredo sauce,64,64.0,90.5
Spring,plat,128956,ww 0 point weight watchers cabbage soup,64,50.0,90.5
Spring,plat,48760,szechuan noodles with spicy beef sauce,64,63.0,90.5
Spring,plat,25625,now don t go  eeewww    before you try this,64,55.0,90.5
Spring,plat,73166,the best chili you will ever taste,63,58.0,90.5
Spring,plat,177558,oven roasted corn on the cob,63,61.0,90.5
Spring,plat,95569,easy and tasty barbecue chicken sandwiches in the crock pot,63,60.0,90.5
Spring,plat,17126,quick spanish rice,62,59.0,90.5
Spring,plat,64446,romano s macaroni grill rosemary bread,61,55.0,90.5
Spring,plat,76616,kittencal s taco seasoning mix,61,59.0,90.5
Spring,plat,108775,baklava salmon  salmon with honey  butter  walnuts  and mustard,61,61.0,90.5
Spring,plat,83524,frizzled cabbage,60,55.0,90.5
Spring,plat,99709,baked tilapia with lots of spice,59,58.0,90.5
Spring,plat,185342,weight watchers parmesan chicken cutlets,59,54.0,90.5
Spring,plat,40497,oven crisp chicken wings,59,52.0,90.5
Spring,plat,59635,chili s salsa,59,56.0,90.5
Summer,plat,27208,to die for crock pot roast,355,335.0,87.0
Summer,plat,89204,crock pot chicken with black beans   cream cheese,332,315.0,87.0
Summer,plat,39087,creamy cajun chicken pasta,298,281.0,87.0
Summer,plat,9272,wonderful salsa,296,274.0,87.0
Summer,plat,22782,jo mama s world famous spaghetti,256,235.0,87.0
Summer,plat,54257,yes  virginia there is a great meatloaf,254,232.0,87.0
Summer,plat,68955,japanese mum s chicken,211,195.0,87.0
Summer,plat,69173,kittencal s italian melt in your mouth meatballs,209,202.0,87.0
Summer,plat,107786,beth s melt in your mouth barbecue ribs  oven,201,170.0,87.0
Summer,plat,129926,simply sour cream chicken enchiladas,191,176.0,87.0
Summer,plat,63689,my family s favorite sloppy joes  pizza joes,188,181.0,87.0
Summer,plat,33919,creamy burrito casserole,180,174.0,87.0
Summer,plat,28148,oven fried chicken chimichangas,178,170.0,87.0
Summer,plat,82102,kittencal s moist cheddar garlic oven fried chicken breast,178,173.0,87.0
Summer,plat,99476,the best easy beef and broccoli stir fry,162,141.0,87.0
Summer,plat,60350,easy stove top macaroni   cheese,160,152.0,87.0
Summer,plat,33671,crock pot whole chicken,154,139.0,87.0
Summer,plat,135350,fannie farmer s classic baked macaroni   cheese,152,140.0,87.0
Summer,plat,27210,best grilled pork chops,152,143.0,87.0
Summer,plat,131018,pulled pork  crock pot,149,132.0,87.0
Summer,plat,66121,p  f  chang s mongolian beef by todd wilbur,141,132.0,87.0
Summer,plat,141983,better than olive garden alfredo sauce,137,119.0,87.0
Summer,plat,92095,authentic italian meatballs,130,118.0,87.0
Summer,plat,177558,oven roasted corn on the cob,126,120.0,87.0
Summer,plat,10744,delicious chicken pot pie,125,111.0,87.0
Summer,plat,28768,absolute best ever lasagna,123,114.0,87.0
Summer,plat,37336,melt in your mouth chicken breasts,121,113.0,87.0
Summer,plat,29598,amazing chicken marinade,121,116.0,87.0
Summer,plat,108364,southern fried chicken,119,105.0,87.0
Summer,plat,87782,greek potatoes  oven roasted and delicious,113,102.0,87.0
Summer,plat,53914,mama s supper club tilapia parmesan,112,105.0,87.0
Summer,plat,27520,poverty meal,112,103.0,87.0
Summer,plat,8701,should be illegal oven bbq ribs,112,104.0,87.0
Summer,plat,95222,pork chops yum yum,106,103.0,87.0
Summer,plat,20155,creamy potato salad,103,97.0,87.0
Summer,plat,98724,simple tomato sandwich,102,91.0,87.0
Summer,plat,1356,ground beef stuffed green bell peppers with cheese,100,92.0,87.0
Summer,plat,29544,crock pot chops that will make you eat til you pop,100,97.0,87.0
Summer,plat,32844,pasta with sausage  tomatoes  and cream,98,92.0,87.0
Summer,plat,200296,kittencal s easy and delicious ranch parmesan chicken,95,89.0,87.0
Summer,plat,49387,oven fried eggplant  aubergine,93,85.0,87.0
Summer,plat,8650,basil pesto,91,89.0,87.0
Summer,plat,31516,spanish chicken   rice bake,90,85.0,87.0
Summer,plat,95569,easy and tasty barbecue chicken sandwiches in the crock pot,90,85.0,87.0
Summer,plat,63828,perfect pork tenderloin,90,83.0,87.0
Summer,plat,43023,creamy garlic penne pasta,89,83.0,87.0
Summer,plat,38298,olive garden copycat zuppa toscana,88,77.0,87.0
Summer,plat,15865,p  f  chang s chicken lettuce wraps by todd wilbur,87,82.0,87.0
Summer,plat,70165,pizza dough for thin crust pizza,87,82.0,87.0
Summer,plat,87085,southwestern baked spaghetti,87,85.0,87.0
Summer,plat,11217,zucchini salsa  canned,87,74.0,87.0
Summer,plat,33489,top secret recipes version of kfc coleslaw by todd wilbur,87,75.0,87.0
Summer,plat,78814,kittencal s chicken crescent roll casserole,85,81.0,87.0
Summer,plat,749,zucchini lasagna  lasagne    low carb,84,77.0,87.0
Summer,plat,26217,bev s spaghetti sauce,82,75.0,87.0
Summer,plat,107997,4 minute spicy garlic shrimp,81,76.0,87.0
Summer,plat,55768,baja black beans  corn and rice,81,76.0,87.0
Summer,plat,145038,caramelized baked chicken legs wings,81,66.0,87.0
Summer,plat,26257,so it s bekah s pulled pork now,81,78.0,87.0
Summer,plat,9836,slow cooker cheesy chicken,80,77.0,87.0
Summer,plat,76930,funky chicken with sesame noodles,79,76.0,87.0
Summer,plat,8782,roast  sticky  chicken,79,78.0,87.0
Summer,plat,31371,bev s sauteed yellow squash,79,76.0,87.0
Summer,plat,21882,chicken pesto,78,76.0,87.0
Summer,plat,47195,uncle bill s microwave potato chips,76,72.0,87.0
Summer,plat,44232,tomato and basil bruschetta,76,74.0,87.0
Summer,plat,33921,really good vegetarian meatloaf  really,75,68.0,87.0
Summer,plat,53508,charlie s famous chicken salad with grapes,75,70.0,87.0
Summer,plat,15242,cracker barrel s hashbrowns casserole   copycat,75,65.0,87.0
Summer,plat,103215,panda express orange chicken,74,64.0,87.0
Summer,plat,34382,mashed red potatoes with garlic and parmesan,74,72.0,87.0
Summer,plat,75302,mrs  geraldine s ground beef casserole,73,71.0,87.0
Summer,plat,63786,steak  or chicken  fajitas,73,71.0,87.0
Summer,plat,48760,szechuan noodles with spicy beef sauce,72,72.0,87.0
Summer,plat,33170,simple caribbean jerk chicken,72,69.0,87.0
Summer,plat,22176,classic baked ziti,70,66.0,87.0
Summer,plat,16531,crock pot garlic brown sugar chicken,70,67.0,87.0
Summer,plat,42169,jumbo shrimp parmesan,69,67.0,87.0
Summer,plat,43072,oatmeal cottage cheese pancakes,68,64.0,87.0
Summer,plat,48635,basic pancake mix,68,64.0,87.0
Summer,plat,128956,ww 0 point weight watchers cabbage soup,67,60.0,87.0
Summer,plat,99156,thai grilled chicken thighs,67,64.0,87.0
Summer,plat,4957,crock pot chicken taco meat,66,62.0,87.0
Summer,plat,105670,bacon wrapped jalapeno poppers,66,58.0,87.0
Summer,plat,155186,fantastic taco casserole,66,63.0,87.0
Summer,plat,108775,baklava salmon  salmon with honey  butter  walnuts  and mustard,65,63.0,87.0
Summer,plat,13285,greek style turkey burgers,65,63.0,87.0
Summer,plat,13982,honey ginger grilled salmon,64,62.0,87.0
Summer,plat,244592,kittencal s italian zucchini mozzarella patties,64,61.0,87.0
Summer,plat,150384,panera broccoli cheese soup,64,62.0,87.0
Summer,plat,32503,hawaiian chicken kabobs,64,63.0,87.0
Summer,plat,30081,ground beef gyros,64,63.0,87.0
Summer,plat,4627,chicken tortilla soup ii,63,58.0,87.0
Summer,plat,35805,easy peezy pizza dough  bread machine pizza dough,63,60.0,87.0
Summer,plat,40497,oven crisp chicken wings,63,56.0,87.0
Summer,plat,150863,panera s cream cheese potato soup,61,54.0,87.0
Summer,plat,97428,zesty salsa for canning,60,51.0,87.0
Summer,plat,19724,adam s ribs,60,49.0,87.0
Summer,plat,241139,blue ribbon dill pickles,60,44.0,87.0
Summer,plat,56694,the very best salisbury steak,60,47.0,87.0
Fall,plat,27208,to die for crock pot roast,486,458.0,101.0
Fall,plat,89204,crock pot chicken with black beans   cream cheese,408,378.0,101.0
Fall,plat,54257,yes  virginia there is a great meatloaf,383,356.0,101.0
Fall,plat,39087,creamy cajun chicken pasta,317,304.0,101.0
Fall,plat,22782,jo mama s world famous spaghetti,260,243.0,101.0
Fall,plat,150863,panera s cream cheese potato soup,259,243.0,101.0
Fall,plat,10744,delicious chicken pot pie,248,236.0,101.0
Fall,plat,69173,kittencal s italian melt in your mouth meatballs,232,225.0,101.0
Fall,plat,82102,kittencal s moist cheddar garlic oven fried chicken breast,227,217.0,101.0
Fall,plat,33919,creamy burrito casserole,221,214.0,101.0
Fall,plat,4627,chicken tortilla soup ii,218,206.0,101.0
Fall,plat,135350,fannie farmer s classic baked macaroni   cheese,208,184.0,101.0
Fall,plat,73166,the best chili you will ever taste,201,175.0,101.0
Fall,plat,38298,olive garden copycat zuppa toscana,194,176.0,101.0
Fall,plat,33671,crock pot whole chicken,192,180.0,101.0
Fall,plat,25730,pumpkin pie dip,191,184.0,101.0
Fall,plat,68955,japanese mum s chicken,185,174.0,101.0
Fall,plat,28148,oven fried chicken chimichangas,179,173.0,101.0
Fall,plat,129926,simply sour cream chicken enchiladas,177,163.0,101.0
Fall,plat,486261,mexican stack up  rsc,175,175.0,101.0
Fall,plat,95222,pork chops yum yum,173,167.0,101.0
Fall,plat,339453,perfect turkey in an electric roaster oven,173,129.0,101.0
Fall,plat,99476,the best easy beef and broccoli stir fry,170,155.0,101.0
Fall,plat,63689,my family s favorite sloppy joes  pizza joes,167,164.0,101.0
Fall,plat,27520,poverty meal,165,150.0,101.0
Fall,plat,28768,absolute best ever lasagna,162,154.0,101.0
Fall,plat,37336,melt in your mouth chicken breasts,156,150.0,101.0
Fall,plat,106627,caramelized butternut squash,152,142.0,101.0
Fall,plat,150384,panera broccoli cheese soup,150,130.0,101.0
Fall,plat,486496,bacon lattice tomato muffins  rsc,149,141.0,101.0
Fall,plat,131018,pulled pork  crock pot,142,135.0,101.0
Fall,plat,145064,kittencal s easy no fail make anytime turkey gravy,135,129.0,101.0
Fall,plat,78814,kittencal s chicken crescent roll casserole,132,123.0,101.0
Fall,plat,34382,mashed red potatoes with garlic and parmesan,129,126.0,101.0
Fall,plat,9272,wonderful salsa,127,121.0,101.0
Fall,plat,50144,crock pot potato chowder,122,120.0,101.0
Fall,plat,3470,crock pot chicken  gravy and stuffing,116,113.0,101.0
Fall,plat,107786,beth s melt in your mouth barbecue ribs  oven,115,100.0,101.0
Fall,plat,92095,authentic italian meatballs,112,102.0,101.0
Fall,plat,46262,uncle bill s method for cooking turkey,111,106.0,101.0
Fall,plat,15242,cracker barrel s hashbrowns casserole   copycat,109,96.0,101.0
Fall,plat,102073,opal s pumpkin pie,108,102.0,101.0
Fall,plat,87782,greek potatoes  oven roasted and delicious,108,103.0,101.0
Fall,plat,200296,kittencal s easy and delicious ranch parmesan chicken,106,104.0,101.0
Fall,plat,33921,really good vegetarian meatloaf  really,106,102.0,101.0
Fall,plat,32844,pasta with sausage  tomatoes  and cream,105,100.0,101.0
Fall,plat,80536,mahogany beef stew,104,102.0,101.0
Fall,plat,76930,funky chicken with sesame noodles,103,103.0,101.0
Fall,plat,53914,mama s supper club tilapia parmesan,102,97.0,101.0
Fall,plat,31717,olive garden pasta e fagioli soup in a crock pot  copycat,101,97.0,101.0
Fall,plat,60350,easy stove top macaroni   cheese,101,96.0,101.0
Fall,plat,9954,good eats roast turkey,99,94.0,101.0
Fall,plat,79944,bacon wrapped chicken  oamc,96,93.0,101.0
Fall,plat,77585,copycat olive garden minestrone soup by todd wilbur,96,92.0,101.0
Fall,plat,63828,perfect pork tenderloin,95,86.0,101.0
Fall,plat,66121,p  f  chang s mongolian beef by todd wilbur,95,92.0,101.0
Fall,plat,56103,roasted brussels sprouts,95,91.0,101.0
Fall,plat,48760,szechuan noodles with spicy beef sauce,94,92.0,101.0
Fall,plat,9836,slow cooker cheesy chicken,94,92.0,101.0
Fall,plat,95569,easy and tasty barbecue chicken sandwiches in the crock pot,91,88.0,101.0
Fall,plat,102274,tsr version of t g i  friday s black bean soup by todd wilbur,89,87.0,101.0
Fall,plat,41541,really really good candied sweet potatoes,88,83.0,101.0
Fall,plat,17987,quick butternut squash soup,88,84.0,101.0
Fall,plat,8701,should be illegal oven bbq ribs,86,82.0,101.0
Fall,plat,52253,big thicket chicken and dumplings,86,84.0,101.0
Fall,plat,43023,creamy garlic penne pasta,85,84.0,101.0
Fall,plat,108364,southern fried chicken,84,81.0,101.0
Fall,plat,21761,brussels sprouts in garlic butter,84,77.0,101.0
Fall,plat,141983,better than olive garden alfredo sauce,82,69.0,101.0
Fall,plat,46922,awesome baked ham,82,72.0,101.0
Fall,plat,37413,beef patties in onion gravy,81,80.0,101.0
Fall,plat,53878,amazing white trash puff balls,81,79.0,101.0
Fall,plat,8782,roast  sticky  chicken,80,78.0,101.0
Fall,plat,22176,classic baked ziti,80,78.0,101.0
Fall,plat,45069,debbie s crock pot chili,79,75.0,101.0
Fall,plat,43850,pumpkin seeds,78,78.0,101.0
Fall,plat,26217,bev s spaghetti sauce,76,70.0,101.0
Fall,plat,70165,pizza dough for thin crust pizza,76,72.0,101.0
Fall,plat,28943,most incredible no fail pie crust,75,71.0,101.0
Fall,plat,52272,thick and creamy new england clam chowder,75,69.0,101.0
Fall,plat,96988,turn your crock pot into a smokehouse chicken  smoked chicken,74,72.0,101.0
Fall,plat,34499,awesome baked pork chops,74,72.0,101.0
Fall,plat,221743,kittencal s best blasted rapid roast whole chicken,74,69.0,101.0
Fall,plat,35988,tortellini tomato spinach soup,74,70.0,101.0
Fall,plat,36984,the best browned beef stew ever,73,67.0,101.0
Fall,plat,145038,caramelized baked chicken legs wings,73,66.0,101.0
Fall,plat,32147,slow cooker beef short ribs,72,63.0,101.0
Fall,plat,52488,mean guy s general tso s chicken,72,70.0,101.0
Fall,plat,77861,roast turkey,72,68.0,101.0
Fall,plat,42071,best cream of broccoli soup,72,68.0,101.0
Fall,plat,104086,the best chicken tortilla soup,72,71.0,101.0
Fall,plat,30366,bev s macaroni and cheese,70,70.0,101.0
